swale	plot	time	treatment	FAR.r	FAR.d	FAR.w	FAR.k	FAR.y	FAR.days	FARp.r	FARp.d	FARp.w	FARp.k	FARp.y	FARm.r	FARm.d	FARm.w	FARm.k	FARm.y	FARb.r	FARb.d	FARb.w	FARb.k	FARb.y
s1	p220	t3	ob12	0	2	33	40	0	92	0	0.02173913	0.358695652	0.434782609	0	0	0.179841897	0.264751553	0.740740741	0	0	1	1	1	0
s1	p224	t3	ob12	0	6	33	34	14	92	0	0.065217391	0.358695652	0.369565217	0.152173913	0	0.539525692	0.264751553	0.62962963	0.146086957	0	1	1	1	1
s1	p226	t3	ob12	0	1	31	27	4	92	0	0.010869565	0.336956522	0.293478261	0.043478261	0	0.089920949	0.248706004	0.5	0.04173913	0	1	1	1	1
s1	p227	t3	ob12	0	2	39	13	0	92	0	0.02173913	0.423913043	0.141304348	0	0	0.179841897	0.312888199	0.240740741	0	0	1	1	1	0
s1	p229	t3	ob12	0	1	44	47	10	92	0	0.010869565	0.47826087	0.510869565	0.108695652	0	0.089920949	0.35300207	0.87037037	0.104347826	0	1	1	1	1
s1	p230	t3	ob12	0	0	14	54	3	92	0	0	0.152173913	0.586956522	0.032608696	0	0	0.112318841	1	0.031304348	0	0	1	1	1
s1	p232	t3	ob12	0	6	12	26	13	92	0	0.065217391	0.130434783	0.282608696	0.141304348	0	0.539525692	0.096273292	0.481481481	0.135652174	0	1	1	1	1
s1	p233	t3	ob12	0	1	19	8	0	92	0	0.010869565	0.206521739	0.086956522	0	0	0.089920949	0.152432712	0.148148148	0	0	1	1	1	0
s1	p235	t3	ob12	0	5	18	11	0	92	0	0.054347826	0.195652174	0.119565217	0	0	0.449604743	0.144409938	0.203703704	0	0	1	1	1	0
s1	p236	t3	ob12	0	7	1	5	3	92	0	0.076086957	0.010869565	0.054347826	0.032608696	0	0.62944664	0.008022774	0.092592593	0.031304348	0	1	1	1	1
s1	p239	t3	ob12	0	1	13	26	0	92	0	0.010869565	0.141304348	0.282608696	0	0	0.089920949	0.104296066	0.481481481	0	0	1	1	1	0
s1	p240	t3	ob12	0	8	14	26	14	92	0	0.086956522	0.152173913	0.282608696	0.152173913	0	0.719367589	0.112318841	0.481481481	0.146086957	0	1	1	1	1
s1	p241	t3	ob12	0	4	17	1	0	93	0	0.043010753	0.182795699	0.010752688	0	0	0.355816227	0.134920635	0.018319395	0	0	1	1	1	0
s1	p243	t3	ob12	0	7	27	7	5	93	0	0.075268817	0.290322581	0.075268817	0.053763441	0	0.622678397	0.214285714	0.128235763	0.051612903	0	1	1	1	1
s1	p244	t3	ob12	0	4	16	30	0	93	0	0.043010753	0.172043011	0.322580645	0	0	0.355816227	0.126984127	0.54958184	0	0	1	1	1	0
s1	p246	t3	ob12	0	11	71	33	1	93	0	0.11827957	0.76344086	0.35483871	0.010752688	0	0.978494624	0.563492063	0.604540024	0.010322581	0	1	1	1	1
s1	p253	t3	ob12	0	5	41	28	4	93	0	0.053763441	0.440860215	0.301075269	0.043010753	0	0.444770283	0.325396825	0.512943051	0.041290323	0	1	1	1	1
s1	p258	t3	ob12	3	7	126	36	2	93	0.032258065	0.075268817	1.35483871	0.387096774	0.021505376	0.127629734	0.622678397	1	0.659498208	0.020645161	1	1	1	1	1
s1	p259	t3	ob12	0	1	49	38	0	93	0	0.010752688	0.52688172	0.408602151	0	0	0.088954057	0.388888889	0.696136997	0	0	1	1	1	0
s1	p260	t3	ob12	0	1	33	12	0	93	0	0.010752688	0.35483871	0.129032258	0	0	0.088954057	0.261904762	0.219832736	0	0	1	1	1	0
s1	p262	t3	ob12	0	4	31	4	5	93	0	0.043010753	0.333333333	0.043010753	0.053763441	0	0.355816227	0.246031746	0.073277579	0.051612903	0	1	1	1	1
s1	p263	t3	ob12	0	6	52	3	0	93	0	0.064516129	0.559139785	0.032258065	0	0	0.53372434	0.412698413	0.054958184	0	0	1	1	1	0
s1	p269	t3	ob12	0	3	32	6	0	93	0	0.032258065	0.344086022	0.064516129	0	0	0.26686217	0.253968254	0.109916368	0	0	1	1	1	0
s1	p273	t3	ob12	0	2	5	12	3	97	0	0.020618557	0.051546392	0.12371134	0.030927835	0	0.170571696	0.038046146	0.210767468	0.029690722	0	1	1	1	1
s1	p277	t3	ob12	0	5	29	14	2	93	0	0.053763441	0.311827957	0.150537634	0.021505376	0	0.444770283	0.23015873	0.256471525	0.020645161	0	1	1	1	1
s1	p279	t3	ob12	0	0	60	24	0	93	0	0	0.64516129	0.258064516	0	0	0	0.476190476	0.439665472	0	0	0	1	1	0
s1	p286	t3	ob12	0	0	5	20	0	93	0	0	0.053763441	0.215053763	0	0	0	0.03968254	0.366387893	0	0	0	1	1	0
s1	p287	t3	ob12	1	4	54	13	0	93	0.010752688	0.043010753	0.580645161	0.139784946	0	0.042543245	0.355816227	0.428571429	0.238152131	0	1	1	1	1	0
s1	p288	t3	ob12	0	2	14	49	2	93	0	0.021505376	0.150537634	0.52688172	0.021505376	0	0.177908113	0.111111111	0.897650339	0.020645161	0	1	1	1	1
s1	p289	t3	ob12	0	1	15	7	0	93	0	0.010752688	0.161290323	0.075268817	0	0	0.088954057	0.119047619	0.128235763	0	0	1	1	1	0
s1	p290	t3	ob12	0	0	17	35	5	93	0	0	0.182795699	0.376344086	0.053763441	0	0	0.134920635	0.641178813	0.051612903	0	0	1	1	1
s1	p293	t3	ob12	0	5	12	2	4	93	0	0.053763441	0.129032258	0.021505376	0.043010753	0	0.444770283	0.095238095	0.036638789	0.041290323	0	1	1	1	1
s1	p294	t3	ob12	0	4	39	15	8	93	0	0.043010753	0.419354839	0.161290323	0.086021505	0	0.355816227	0.30952381	0.27479092	0.082580645	0	1	1	1	1
s1	p296	t3	ob12	0	1	32	16	0	93	0	0.010752688	0.344086022	0.172043011	0	0	0.088954057	0.253968254	0.293110315	0	0	1	1	1	0
s1	p299	t3	ob12	0	4	20	35	19	97	0	0.041237113	0.206185567	0.360824742	0.195876289	0	0.341143393	0.152184585	0.61473845	0.188041237	0	1	1	1	1
