swale	plot	time	treatment	Camf.d	Camf.k	Camf.r	Camf.y	Camf.w	Days	Camb.d	Camb.k	Camb.r	Camb.y	Camb.w
sw7	p122	t2	cb12	2	0	2	0	0	14	1	0	1	0	0
sw7	p123	t2	cb12	1	0	2	0	0	14	1	0	1	0	0
sw7	p126	t2	cb12	0	0	0	0	1	14	0	0	0	0	1
sw8	p190	t2	cb12	0	1	3	0	0	14	0	1	1	0	0
sw8	p198	t2	cb12	1	1	0	0	1	14	1	1	0	0	1
sw1	p260	t2	ob12	1	0	0	0	1	14	1	0	0	0	1
sw1	p286	t2	ob12	3	0	1	0	2	14	1	0	1	0	1
sw1	p290	t2	ob12	3	0	0	0	2	14	1	0	0	0	1
sw2	p351B	t2	ob12	0	1	1	0	8	14	0	1	1	0	1
sw2	p353B	t2	ob12	0	4	0	1	4	14	0	1	0	1	1
sw4	p360	t2	oub	1	2	0	2	1	14	1	1	0	1	1
sw4	p362	t2	oub	0	2	0	3	2	14	0	1	0	1	1
sw4	p364	t2	oub	0	1	0	2	1	14	0	1	0	1	1
sw9	p383	t2	cb12	3	1	0	0	2	14	1	1	0	0	1
sw9	p390	t2	cb12	1	0	1	0	0	14	1	0	1	0	0
sw5	p406	t2	oub	2	1	0	0	2	14	1	1	0	0	1
sw5	p413	t2	oub	0	0	1	0	4	14	0	0	1	0	1
sw5	p416	t2	oub	1	1	0	0	3	14	1	1	0	0	1
sw6	p437	t2	oub	0	0	0	2	0	14	0	0	0	1	0
sw6	p453	t2	oub	2	0	3	6	1	14	1	0	1	1	1
sw6	p464	t2	oub	5	0	1	4	2	14	1	0	1	1	1
sw11	p493	t2	cb09	0	0	0	0	2	14	0	0	0	0	1
sw12	p496	t2	cb09	2	0	0	4	1	14	1	0	0	1	1
sw12	p497	t2	cb09	3	2	1	4	3	14	1	1	1	1	1
sw11	p501	t2	cb09	0	0	0	3	1	14	0	0	0	1	1
sw11	p502	t2	cb09	0	0	0	0	0	14	0	0	0	0	0
sw10	p505	t2	cb09	2	0	0	3	1	14	1	0	0	1	1
sw10	p511	t2	cb09	2	1	0	6	2	14	1	1	0	1	1
sw10	p512	t2	cb09	1	0	0	5	0	14	1	0	0	1	0
sw3	p68	t2	ob12	1	2	0	0	6	14	1	1	0	0	1
sw3	p74	t2	ob12	2	1	8	0	1	14	1	1	1	0	1
